Country,Broadband Speed Rank,Broadband Mbps,Mobile Speed Rank,Mobile Mbps,As of,Continent
Mauritius,117,19.88,83,20.59,Jan-22,Africa
Burkina Faso,118,19.71,124,11.52,Jan-22,Africa
Cambodia,119,19.36,99,16.82,Jan-22,Asia
Lesotho,120,18.92,,,Jan-22,Africa
Mali,121,17.71,,,Jan-22,Africa
Azerbaijan,122,17.4,60,30.96,Jan-22,Asia
Antigua and Barbuda,123,17.36,,,Jan-22,North America
Tajikistan,124,16.96,135,6.43,Jan-22,Asia
Togo,125,16.46,,,Jan-22,Africa
Cape Verde,126,16.37,,,Jan-22,Africa
Dominican Republic,127,15.52,97,17.21,Jan-22,North America
Republic of the Union of Myanmar,128,15.2,68,26.29,Jan-22,Asia
Haiti,129,14.89,129,10.02,Jan-22,North America
Palestine,130,14.3,137,5.72,Jan-22,Asia
Gabon,131,13.41,,,Jan-22,Africa
Morocco,132,12.78,66,26.86,Jan-22,Africa
Fiji,133,12.27,79,22.75,Jan-22,Oceania
Angola,134,11.97,72,25.43,Jan-22,Africa
Congo,135,11.84,,,Jan-22,Africa
Libya,136,11,128,10.35,Jan-22,Africa
Maldives,137,10.97,37,46.87,Jan-22,Asia
Suriname,138,10.79,,,Jan-22,South America
Benin,139,10.77,,,Jan-22,Africa
Western Sahara,140,10.51,,,Jan-22,Africa
Iran,141,10.39,77,23.1,Jan-22,Asia
Nigeria,142,10.06,90,18.33,Jan-22,Africa
Micronesia,143,9.75,,,Jan-22,Oceania
Algeria,144,9.72,125,11.31,Jan-22,Africa
Uganda,145,9.57,111,15.02,Jan-22,Africa
Rwanda,146,9.52,,,Jan-22,Africa
Liberia,147,9.48,,,Jan-22,Africa
Tanzania,148,9.45,127,10.44,Jan-22,Africa
Marshall Islands,149,9.29,,,Jan-22,Oceania
Papua New Guinea,150,9.25,,,Jan-22,Oceania
Pakistan,151,9.12,102,16.56,Jan-22,Asia
Cameroon,152,9.04,117,13.07,Jan-22,Africa
Kenya,153,8.91,107,15.81,Jan-22,Africa
Sierra Leone,154,8.57,,,Jan-22,Africa
Bhutan,155,8.52,,,Jan-22,Asia
Namibia,156,8.29,85,20.04,Jan-22,Africa
The Gambia,157,7.84,,,Jan-22,Africa
Tunisia,158,7.64,82,21.78,Jan-22,Africa
Lebanon,159,7.27,94,17.72,Jan-22,Asia
Botswana,160,7.22,73,24.79,Jan-22,Africa
Venezuela,161,7.15,136,5.99,Jan-22,South America
Somalia,162,6.78,132,7.98,Jan-22,Africa
Mozambique,163,6.23,120,12.52,Jan-22,Africa
Mauritania,164,6.1,,,Jan-22,Africa
Malawi,165,5.54,,,Jan-22,Africa
Burundi,166,5.44,,,Jan-22,Africa
Zimbabwe,167,5.21,123,12.02,Jan-22,Africa
Swaziland,168,4.94,,,Jan-22,Africa
Djibouti,169,4.71,,,Jan-22,Africa
Zambia,170,4.6,121,12.46,Jan-22,Africa
Niger,171,3.85,,,Jan-22,Africa
Guinea,172,3.79,,,Jan-22,Africa
Sudan,173,3.28,133,7.83,Jan-22,Africa
Syria,174,2.87,122,12.24,Jan-22,Asia
Yemen,175,2.74,140,0.53,Jan-22,Asia
Ethiopia,176,2.69,78,22.83,Jan-22,Africa
Cuba,177,1.9,119,12.71,Jan-22,North America
Turkmenistan,178,1.89,139,3.09,Jan-22,Asia
Afghanistan,179,1.62,138,5.1,Jan-22,Asia
